procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 219384036  30200 25695504    0    0   195  6006 2904    0 16  1 83  0  0  0
 1  0      0 219271484  30208 25695552    0    0     0    19 1228  178  9  0 91  0  0  0
 1  0      0 219304444  30208 25695552    0    0     0     2 1325  229  9  0 91  0  0  0
 2  0      0 219273844  30216 25695552    0    0     0     6 1123  132  8  0 92  0  0  0
 1  0      0 219235908  30232 25712260    0    0     2  2634 1271  202  9  0 91  0  0  0
 1  0      0 218483008  30240 25743664    0    0     0    23 1515  380  8  1 91  0  0  0
 1  0      0 218663252  30248 25743744    0    0     0    35 1163  232  7  1 92  0  0  0
 2  0      0 218499416  30256 25743744    0    0     0  3109 1180  247  7  1 92  0  0  0
 1  0      0 218660232  30264 25743744    0    0     0    22 1173  241  7  1 92  0  0  0
 1  0      0 218493744  30272 25743728    0    0     0    24 1203  256  7  1 92  0  0  0
 1  0      0 218647764  30280 25743736    0    0     0     9 1166  246  7  1 92  0  0  0
 1  0      0 218491896  30280 25743792    0    0     0     0 1415  390  7  1 92  0  0  0
 1  0      0 218648892  30288 25743792    0    0     0     7 1169  252  7  1 92  0  0  0
 1  0      0 218500456  30296 25743828    0    0     0     6 1163  234  7  1 92  0  0  0
 1  0      0 218656968  30304 25743796    0    0     0     6 1163  243  7  1 92  0  0  0
 1  0      0 218503432  30312 25743796    0    0     0     8 1160  230  7  1 92  0  0  0
 1  0      0 218693744  30320 25743788    0    0     0     7 1181  248  7  1 92  0  0  0
 1  0      0 218481020  30320 25743816    0    0     0     1 1469  415  8  1 91  0  0  0
 1  0      0 218630704  30328 25743800    0    0     0    21 1164  244  7  1 92  0  0  0
 1  0      0 218482596  30336 25743784    0    0     0     7 1154  226  7  1 92  0  0  0
 1  0      0 218706024  30344 25743816    0    0     0     7 1166  244  7  1 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 218493000  30352 25743800    0    0     0     6 1168  240  7  1 92  0  0  0
 1  0      0 218498412  30360 25743784    0    0     0     6 1412  408  7  1 92  0  0  0
 1  0      0 218480252  30368 25743872    0    0     0     9 1165  240  7  1 92  0  0  0
 1  0      0 218491648  30368 25743848    0    0     0     4 1159  229  7  1 92  0  0  0
 1  0      0 218488536  30376 25743880    0    0     0     4 1221  284  7  1 92  0  0  0
 1  0      0 218493052  30384 25743880    0    0     0     5 1155  227  7  1 92  0  0  0
 1  0      0 218502840  30392 25743880    0    0     0     6 1174  252  7  1 92  0  0  0
 1  0      0 218493572  30400 25743800    0    0     0     6 1410  394  7  1 92  0  0  0
 1  0      0 218498320  30408 25743784    0    0     0     8 1180  262  7  1 92  0  0  0
 1  0      0 218502428  30416 25743776    0    0     0     6 1158  228  7  1 92  0  0  0
 1  0      0 218524416  30416 25743784    0    0     0     1 1168  245  7  1 92  0  0  0
 1  0      0 218684508  30424 25743800    0    0     0     4 1166  248  7  1 92  0  0  0
 1  0      0 218490744  30432 25743784    0    0     0     4 1167  236  7  1 92  0  0  0
 1  0      0 218624460  30440 25743808    0    0     0    10 1529  442  8  1 91  0  0  0
 1  0      0 218458580  30448 25743808    0    0     0    15 1176  242  7  1 92  0  0  0
 1  0      0 218640664  30456 25743792    0    0     0     9 1211  278  7  1 92  0  0  0
