procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 219332336  37036 25695984    0    0   167  5195 2653    0 15  1 84  0  0  0
 1  0      0 219243024  37036 25696744    0    0     0     2 2083  662  9  1 90  0  0  0
 1  0      0 219208204  37048 25705280    0    0     0   268 1228  175  9  0 91  0  0  0
 2  0      0 219206480  37048 25713644    0    0     0     2 1198  139  9  0 91  0  0  0
 1  0      0 219210576  37056 25722252    0    0     0    52 1278  204  9  0 91  0  0  0
 1  0      0 219210352  37056 25730880    0    0     0 15122 1246  193  9  0 91  0  0  0
 1  0      0 219203272  37056 25739492    0    0     0     2 1212  158  9  0 91  0  0  0
 1  0      0 219201504  37068 25748132    0    0     2 100622 1302  198  9  0 89  2  0  0
 1  0      0 218310540  37068 25754444    0    0     0     0 1191  153  8  1 91  0  0  0
 1  0      0 217798252  37068 25773140    0    0     0     2 1208  274  7  2 92  0  0  0
 1  0      0 218304820  37080 25773204    0    0     0    42 1149  221  7  1 92  0  0  0
 1  0      0 217844772  37080 25773188    0    0     0     0 1129  190  7  1 92  0  0  0
 1  0      0 218230868  37080 25773188    0    0     0    30 1175  248  7  1 92  0  0  0
 1  0      0 217843268  37088 25773188    0    0     0    12 1144  196  8  1 92  0  0  0
 1  0      0 217995836  37088 25773156    0    0     0     0 1161  253  7  2 92  0  0  0
 1  0      0 217841840  37088 25773156    0    0     0     2 1149  189  8  0 92  0  0  0
 1  0      0 217896572  37096 25773188    0    0     0    12 1198  300  6  2 92  0  0  0
 1  0      0 217847264  37096 25773188    0    0     0     0 1122  173  8  0 92  0  0  0
 1  0      0 217819492  37096 25773188    0    0     0     2 1167  249  6  2 92  0  0  0
 1  0      0 217845992  37104 25773188    0    0     0    10 1131  186  8  0 92  0  0  0
 1  0      0 217813708  37104 25773204    0    0     0  2610 1178  269  6  2 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 217840432  37104 25773204    0    0     0     2 1124  173  8  0 92  0  0  0
 1  0      0 217798644  37112 25773188    0    0     0    36 1636  541  6  2 91  0  0  0
 1  0      0 217822084  37112 25773188    0    0     0 10730 1355  344  8  0 91  0  0  0
 1  0      0 217816240  37112 25773172    0    0     0     2 1186  282  6  2 92  0  0  0
 1  0      0 217819524  37120 25773164    0    0     0  2088 1135  176  8  0 92  0  0  0
 1  0      0 217831016  37120 25773156    0    0     0     0 1174  268  6  2 92  0  0  0
 1  0      0 217834012  37120 25773156    0    0     0     2 1111  156  8  0 92  0  0  0
 1  0      0 217821836  37128 25773180    0    0     0    44 1174  272  6  2 92  0  0  0
