method_id	became_canonical	commit	risc0_zkvm	rzup_cargo_risczero	rzup_rust	rzup_cpp
d1fc40654d4817ad58bc8c0cde11f7a91ee72ed1084895451ced4385b312f292	2026-07-18	b9403e2ff	3.0.5	3.0.5	1.94.1	2024.1.5
c029cee4be0a0478af667b03d95112304e574beb93e23ffd97afb93d66742059	2026-07-19	3e32706b2	3.0.5	3.0.5	1.94.1	2024.1.5
601d7ca298f32c54137fdb395d0debd31e95e4f084615fa710e5db5c785f05e6	2026-07-22	63eb4d182	3.0.5	3.0.5	1.94.1	2024.1.5
36a0415d5763ed62e71c44915d36caa34ae840cfd1051587bce1de27be0dd7f5	2026-07-24	d8c00ec5b	3.0.5	3.0.5	1.94.1	2024.1.5
7a8b29e0d644eecd6c46d125d6646909f017c80a2de679301228d428cdccae3d	2026-07-26	a186243ef	3.0.5	3.0.5	1.94.1	2024.1.5
68819a54f2377fc6bc3a90ead0e07075e316d2e0e08d4f97bb77b15c5f12b0b9	2026-07-26	96407d00c	3.0.5	3.0.5	1.94.1	2024.1.5
3f52baff7e7d4adaa328b832d6f15fffb1b35968b6636760f9d50e045bbae67e	2026-07-27	0e4fbda50	3.0.5	3.0.5	1.94.1	2024.1.5
85dc0b56af8739acac76e560fbd44141d48d753044523604dd5e2a9619224c39	2026-07-30	3926891b8	3.0.5	3.0.5	1.94.1	2024.1.5
be5e05280e108bdeeb6747b231df375f946a8530300525b5d4c523abe5b7c246	2026-07-31	189fea616	3.0.5	3.0.5	1.94.1	2024.1.5
717905842bb012db8c2e62804e68c30b05cb1f08091dd903b85c27bc894af490	2026-08-02	d5723a4d9	3.0.5	3.0.5	1.94.1	2024.1.5
dfc9eeda7a5cc19f5091a642c1d88cde6fb153259d94be7e317ee20efb41206f	2026-08-03	70a0fa541	3.0.5	3.0.5	1.94.1	2024.1.5
b161735a13d120a29aaf1e3c910bc6cbb486467bef40c04fe839aa4044170b3d	2026-08-04	a4b8918d1	3.0.5	3.0.5	1.94.1	2024.1.5
4722cec826239c1b3a3598bbac284376cc7b920c9bcd9863fa34f40c9ea7bbae	2026-08-04	61a6f9ffa	3.0.5	3.0.5	1.94.1	2024.1.5
b62d2a604f1d6504f9a70eb6a1acab2d64f1d6e356f4c9a6f28c271ac360318a	2026-08-21	067062e2f	3.0.5	3.0.5	1.94.1	2024.1.5
1d6c3792e5aefec398bfb03e176934f6876f423ec6f54c3d3d8f0c79ce5000c5	2026-08-24	2d9a63679	3.0.5	3.0.5	1.94.1	2024.1.5
3867611d99044e24dd5fe8753e6158f1d7f7d86c24bacc4ce968c621faed4b15	2026-09-05	42417d20a	3.0.5	3.0.5	1.94.1	2024.1.5
37987b85ec665970ac6c5e8031deb8160ac8ed846f09056c3790b5f78c8bb5dd	2026-09-07	c12ad6731	3.0.5	3.0.5	1.94.1	2024.1.5
